stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\pepem\OneDrive\Documentos\dev\POCs_Projeto\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.18800] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18810] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18822] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18834] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18845] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18857] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18870] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18887] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18897] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18908] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18920] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18931] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18955] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18969] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18986] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18995] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19007] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19023] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19037] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19056] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19068] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19081] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19094] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19109] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19123] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19141] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19153] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19165] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19177] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19188] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19199] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19212] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19222] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19232] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19243] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19254] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19265] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19275] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19286] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19298] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19310] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19321] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19331] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19348] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19361] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19373] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19383] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19393] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19405] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19416] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19425] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19445] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19459] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19470] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19485] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19497] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19506] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.19517] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19529] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19540] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19552] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.19563] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.19576] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19586] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19594] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19614] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19629] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19642] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.19654] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19665] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.19675] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19685] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19695] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19707] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19719] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19733] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.19749] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19762] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.19773] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19784] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19796] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19810] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19822] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19835] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.19846] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19857] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.19873] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19887] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19901] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19912] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19922] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19936] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.19947] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.19962] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.19973] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.19986] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.19996] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20004] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.20013] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20028] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.20039] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20047] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.20059] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20071] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.20080] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20092] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.20104] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20114] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.20124] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20135] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.20144] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20156] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.20168] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20182] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.20189] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20201] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.20210] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20222] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.20230] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20237] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.20247] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.20258] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.20268] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20278] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.20286] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.20296] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.20307] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20318] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20328] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20339] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20352] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20363] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20384] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20402] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20415] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20435] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20447] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20463] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20480] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20493] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20503] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20514] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20526] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20535] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20542] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20552] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20563] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20576] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20587] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20599] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20610] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20621] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20633] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20646] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20656] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20666] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20678] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20687] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20700] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20713] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20721] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20735] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20749] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20761] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20774] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20789] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20804] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20821] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20843] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.20857] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.20871] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.20885] Single Buffer requirement not met.
